offsetNano,x,y,z
-248893200,1.312027,-2.5234833,9.811432
-243857799,1.3072357,-2.494751,9.797073
-238822399,1.2593536,-2.5115204,9.8138275
-233817516,1.2186432,-2.5570068,9.847351
-228782116,1.154007,-2.6264343,9.895233
-223746715,1.1276703,-2.6910858,9.952698
-218711315,1.1444244,-2.7126312,10.007767
-213675914,1.1851349,-2.700653,10.014954
-208640514,1.2234344,-2.6886902,10.005371
-203605114,1.2593536,-2.6575623,9.983826
-198569713,1.2880859,-2.6192627,9.998184
-193534313,1.2904816,-2.5905304,9.955093
-188498913,1.3048401,-2.5713654,9.88327
-183463512,1.3048401,-2.54982,9.816223
-178397594,1.2976532,-2.5330658,9.792282
-173362194,1.2832947,-2.5187073,9.739609
-168326793,1.2593536,-2.494751,9.643845
-163291393,1.2114716,-2.4540558,9.569626
-158255993,1.1516113,-2.4013824,9.531311
-153220592,1.1252747,-2.3654785,9.466675
-148154674,1.0941467,-2.3032227,9.442734
-143119274,1.1037292,-2.2074585,9.42836
-138083873,1.1156921,-2.130844,9.402023
-133048473,1.122879,-2.0614014,9.370911
-128013073,1.0917511,-2.051834,9.354141
-122977672,1.0534515,-2.1236572,9.323029
-117911754,1.0151367,-2.2194214,9.2799225
-112876354,0.9433136,-2.3151855,9.270355
-107840954,0.881073,-2.3918152,9.23204
-102805553,0.82121277,-2.4444733,9.1410675
-97770153,0.78289795,-2.4301147,9.071625
-92734752,0.7445984,-2.4061737,9.088394
-87668834,0.7254486,-2.3654785,9.112335
-82633434,0.72065735,-2.3918152,9.181763
-77598034,0.76135254,-2.458847,9.315842
-72562633,0.8666992,-2.5067291,9.402023
-67527233,0.9864044,-2.568985,9.481033
-62461315,1.0845795,-2.671936,9.636658
-57425914,1.1276703,-2.817978,9.8090515
-52390514,1.1923065,-2.9831696,10.005371
-47355114,1.2689209,-3.150772,10.120285
-42319713,1.359909,-3.2393494,10.172958
-37284313,1.4460907,-3.2752686,10.225632
-32218395,1.5179291,-3.2225952,10.268738
-27182995,1.5179291,-3.10289,10.302246
-22147594,1.529892,-2.968811,10.304642
-17112194,1.5011597,-2.8227692,10.251968
-12076793,1.4796143,-2.6791077,10.22084
-7010875,1.4389191,-2.604889,10.201691
-1975475,1.4221497,-2.5546112,10.172958
3059925,1.4245453,-2.5426483,10.156204
8095326,1.4532776,-2.561798,10.182541
13130726,1.4963837,-2.592926,10.156204
18196644,1.5682068,-2.6312256,10.09874
23232045,1.6352386,-2.6503754,10.055649
28267445,1.6903076,-2.6910858,10.017334
33302845,1.7310028,-2.7677002,9.98143
38338246,1.7788849,-2.8395233,9.959885
43404164,1.8148041,-2.896988,9.96228
48439564,1.8531189,-2.8993835,9.938339
53474964,1.8794556,-2.8945923,9.876083
58510365,1.9153595,-2.8299408,9.792282
63576283,1.9225464,-2.779663,9.686935
68611683,1.8986053,-2.762909,9.622299
73647084,1.8674774,-2.7653046,9.600754
78682484,1.8339539,-2.7772675,9.612717
83717884,1.8339539,-2.817978,9.600754
88753285,1.8267822,-2.8323364,9.605545
93819203,1.8195953,-2.8491058,9.634262
98854603,1.7788849,-2.8395233,9.674973
103890003,1.742981,-2.841919,9.655823
108925404,1.6998901,-2.8203735,9.639053
113960804,1.6208801,-2.7940369,9.639053
119026722,1.5562286,-2.7581177,9.6510315
124062123,1.5035553,-2.7365723,9.672577
129097523,1.4676514,-2.7222137,9.648636
134132923,1.4532776,-2.6982727,9.629486
139168324,1.4293365,-2.695877,9.629486
144234242,1.4197693,-2.671936,9.631866
149269642,1.4077911,-2.6575623,9.641449
154305043,1.4125824,-2.62883,9.624695
159340443,1.4077911,-2.5809479,9.610321
164375843,1.4125824,-2.5570068,9.579208
169441761,1.4173737,-2.5594025,9.576813
174477162,1.4245453,-2.5833435,9.562439
179512562,1.4437103,-2.604889,9.540894
184547962,1.474823,-2.6384125,9.524139
189583363,1.5011597,-2.6575623,9.514557
194618763,1.5011597,-2.6479797,9.509766
199684681,1.4604645,-2.6479797,9.50737
204720082,1.3934326,-2.6910858,9.5169525
209755482,1.2713165,-2.7437592,9.528931
214790882,1.154007,-2.7916412,9.536102
219826283,1.0630188,-2.810791,9.538498
224861683,0.98880005,-2.817978,9.521744
229927601,0.96725464,-2.834732,9.514557
234963002,0.9935913,-2.834732,9.545685
239998402,1.0271149,-2.8538818,9.540894
245033802,1.0797882,-2.8562775,9.528931
250069203,1.1204834,-2.896988,9.478638
255135121,1.1324615,-2.952057,9.402023
260170521,1.1468201,-3.0286713,9.397247
265205921,1.154007,-3.083725,9.433151
270241322,1.1587982,-3.0933075,9.430756
275276722,1.1492157,-3.0621796,9.406815
280312123,1.154007,-3.0119019,9.387665
285378041,1.1659698,-2.9879608,9.397247
290413441,1.177948,-2.968811,9.414001
295448841,1.2042847,-3.0047302,9.440338
300484242,1.2425842,-3.0933075,9.481033
305550160,1.3096313,-3.186676,9.521744
310585560,1.3814545,-3.2465363,9.497803
315620961,1.4868011,-3.2680817,9.493011
320656361,1.5514374,-3.229782,9.483429
325691761,1.5849609,-3.2010498,9.440338
330727162,1.6136932,-3.126831,9.404419
335793080,1.6400299,-3.0980988,9.375702
340828480,1.6735535,-3.0502167,9.394852
345863880,1.6807251,-3.0741577,9.397247
350899281,1.6950989,-3.114853,9.414001
355934681,1.6903076,-3.1747131,9.447525
361000599,1.6783295,-3.2561188,9.485825
