offsetNano,x,y,z
-288512265,0.5530548,-4.2832336,9.042908
-283476864,0.5602417,-4.2904053,9.071625
-278441464,0.5530548,-4.304779,9.081207
-273406064,0.5458832,-4.3263245,9.105148
-268401181,0.56503296,-4.3813934,9.078812
-263365780,0.588974,-4.4172974,9.03093
-258330380,0.61291504,-4.4484253,9.004593
-253294980,0.63446045,-4.4843445,8.975861
-248259579,0.67037964,-4.498703,8.918396
-243224179,0.6823425,-4.491516,8.846573
-238188778,0.6967163,-4.42688,8.815445
-233122860,0.7374115,-4.359848,8.779541
-228087460,0.8140259,-4.292801,8.712494
-223052060,0.881073,-4.2401276,8.667007
-218016659,0.9505005,-4.2305603,8.669403
-212981259,1.0175323,-4.2401276,8.678986
-207945858,1.0941467,-4.2784424,8.671799
-202910458,1.1468201,-4.3143463,8.674194
-197844540,1.1899109,-4.352661,8.688553
-192809140,1.177948,-4.4053345,8.736435
-187773739,1.1324615,-4.4460297,8.7699585
-182738339,1.06781,-4.515457,8.817841
-177702939,1.0055695,-4.5729218,8.837006
-172667538,0.8954315,-4.6471405,8.916
-167601620,0.746994,-4.74292,9.083603
-162566220,0.5506592,-4.8530426,9.17218
-157530819,0.34954834,-4.9344482,9.174576
-152495419,0.15562439,-5.0110626,9.217682
-147460019,-0.0047912598,-5.027817,9.342178
-142394101,-0.07421875,-4.9559937,9.414001
-137358700,-0.07901001,-4.771637,9.442734
-132323300,-0.03831482,-4.515457,9.411606
-127287899,-0.0023956299,-4.2904053,9.342178
-122252499,0.02154541,-4.1276093,9.277527
-117186581,0.0143585205,-4.043808,9.229645
-112151181,-0.0023956299,-3.9767761,9.186554
-107115780,0.0071868896,-3.9528198,9.1410675
-102080380,0.04069519,-4.005493,9.112335
-97044980,0.09815979,-4.1252136,9.10994
-91979062,0.1484375,-4.316742,9.155426
-86943661,0.20829773,-4.5849,9.200912
-81908261,0.27053833,-4.8769836,9.260773
-76872860,0.37828064,-5.106827,9.291901
-71837460,0.4980011,-5.228943,9.31105
-66771542,0.5961609,-5.2911835,9.296692
-61736142,0.6823425,-5.331894,9.272751
-56700741,0.7398071,-5.355835,9.2248535
-51665341,0.7852936,-5.3462524,9.121902
-46629940,0.81881714,-5.300766,9.01178
-41564022,0.84036255,-5.2169647,8.896851
-36528622,0.86909485,-5.111618,8.810669
-31493222,0.89064026,-5.008667,8.743622
-26457821,0.8882446,-4.905716,8.643066
-21422421,0.8882446,-4.8195343,8.566452
-16356503,0.86909485,-4.7644653,8.542511
-11321103,0.86909485,-4.718979,8.540115
-6285702,0.8738861,-4.711792,8.530548
-1250302,0.9026184,-4.711792,8.523361
3785099,0.9433136,-4.7093964,8.523361
8851017,1.0031738,-4.728546,8.556885
13886417,1.0486603,-4.759674,8.595184
18921817,1.098938,-4.7692566,8.573639
23957218,1.1204834,-4.771637,8.497025
28992618,1.1587982,-4.7500916,8.465897
34058536,1.1923065,-4.723755,8.398865
39093936,1.2138672,-4.6854553,8.327026
44129337,1.2186432,-4.6591187,8.267181
49164737,1.2042847,-4.6543274,8.2599945
54200138,1.177948,-4.6423645,8.271973
59266056,1.1683655,-4.616028,8.312668
64301456,1.1276703,-4.5849,8.358154
69336856,1.0845795,-4.5394135,8.398865
74372257,1.0462646,-4.541794,8.482651
79407657,1.0462646,-4.5825043,8.549698
84473575,1.0390778,-4.639969,8.595184
89508976,1.0271149,-4.704605,8.633499
94544376,1.0414734,-4.7812195,8.6358795
99579776,1.0606384,-4.893753,8.659821
104615177,1.0726013,-4.9512024,8.707718
109681095,1.0965424,-5.020645,8.731659
114716495,1.1348572,-5.051773,8.743622
119751895,1.154007,-5.08049,8.736435
124787296,1.1659698,-5.0733185,8.69574
129822696,1.1611938,-5.0661316,8.662216
134888614,1.1659698,-5.0541534,8.633499
139924015,1.1994934,-5.020645,8.611938
144959415,1.2425842,-4.9823303,8.564056
149994815,1.2832947,-4.929657,8.540115
155030216,1.2928619,-4.910507,8.516174
160096134,1.2521667,-4.8961487,8.528152
165131534,1.1803436,-4.944031,8.587997
170166935,1.0726013,-4.996704,8.664612
175202335,0.9505005,-5.0924683,8.765167
180237735,0.8523407,-5.202606,8.882492
185303653,0.7852936,-5.300766,8.959106
190339054,0.74938965,-5.355835,9.026138
195374454,0.7374115,-5.398926,9.083603
200409854,0.7541809,-5.39653,9.095566
205445255,0.7757263,-5.3821716,9.085999
210511173,0.8092346,-5.398926,9.0620575
215546573,0.8307953,-5.3941345,9.01178
220581974,0.8379669,-5.4252625,8.985443
225617374,0.8355713,-5.4803314,8.887283
230683292,0.802063,-5.537796,8.786728
235718692,0.8044586,-5.6000366,8.781937
240754093,0.8355713,-5.609619,8.803482
245789493,0.8954315,-5.55455,8.817841
250824894,0.9505005,-5.4324493,8.7939
255890811,0.9720459,-5.288788,8.765167
260926212,0.9433136,-5.166687,8.729263
265961612,0.87628174,-5.056549,8.726868
270997013,0.8140259,-5.0302124,8.743622
276032413,0.7517853,-5.032608,8.767563
281098331,0.7374115,-5.104431,8.844177
286133731,0.746994,-5.221756,8.992615
291169132,0.7948761,-5.355835,9.09079
296204532,0.88345337,-5.458786,9.150635
301239933,0.95529175,-5.5210266,9.155426
306305851,0.99838257,-5.580887,9.15303
311341251,1.0103607,-5.635956,9.129089
316376651,0.99838257,-5.6503143,9.0620575
321412052,0.9935913,-5.65271,8.966293
326477970,1.0295105,-5.616791,8.85376
331513370,1.098938,-5.5832825,8.731659
336548770,1.1970978,-5.5521545,8.729263
341584171,1.2737122,-5.5210266,8.741226
346619571,1.371872,-5.4563904,8.760391
351685489,1.450882,-5.331894,8.731659
356720890,1.4460907,-5.197815,8.669403
361756290,1.3527222,-5.1212006,8.652649
366791690,1.1923065,-5.0852814,8.688553
371827091,1.0606384,-5.08049,8.719681
376893009,0.964859,-5.0733185,8.746017
381928409,0.9241638,-5.063736,8.789108
386963810,0.89782715,-5.063736,8.832214
391999210,0.8954315,-5.075714,8.894455
397034610,0.8954315,-5.0972595,8.9279785
402100528,0.8571167,-5.1331635,8.954315
407135929,0.8307953,-5.1379547,8.947128
412171329,0.7876892,-5.130768,8.906433
417206729,0.7661438,-5.1403503,8.87291
422272647,0.7661438,-5.1762695,8.882492
427308048,0.7948761,-5.233719,8.904037
432343448,0.8595123,-5.286392,8.918396
437378849,0.9289551,-5.4108887,8.935165
442414249,0.9864044,-5.5593414,8.975861
447480167,1.0079651,-5.7053833,9.040512
452515567,1.0151367,-5.8202972,9.102753
457550968,1.0031738,-5.875366,9.119522
462586368,0.9935913,-5.8945312,9.093185
467621769,0.9624634,-5.88974,9.057266
