x,y,z,data
0.0,0,0.0,0.0002323389
0.0,0,0.0125,0.00024265051
0.0,0,0.025,0.00019657612
0.0,0,0.0375,0.00015234947
0.0,0,0.05,0.00010448694
0.0,0,0.0625,0.00010091066
0.0,0,0.075,0.00013393164
0.0,0,0.0875,0.00025558472
0.0,0,0.1,0.00077831745
0.0,0,0.1125,0.0022845864
0.0,0,0.125,0.008094907
0.0,0,0.1375,0.038671613
0.0,0,0.15,0.16575265
0.0,0,0.1625,0.43132597
0.0,0,0.175,0.9959133
0.0,0,0.1875,0.99040014
0.0,0,0.2,0.977811
0.0,0,0.2125,0.942479
0.0,0,0.225,0.8669977
0.0,0,0.2375,0.7428074
0.0,0,0.25,0.60705596
0.05,0,0.0,0.0015915036
0.05,0,0.0125,0.0007405281
0.05,0,0.025,0.00059092045
0.05,0,0.0375,0.0005246997
0.05,0,0.05,0.00022810698
0.05,0,0.0625,0.0002270937
0.05,0,0.075,0.00024455786
0.05,0,0.0875,0.00030130148
0.05,0,0.1,0.0006324649
0.05,0,0.1125,0.0016376376
0.05,0,0.125,0.0062508583
0.05,0,0.1375,0.020977318
0.05,0,0.15,0.068995
0.05,0,0.1625,0.22259331
0.05,0,0.175,0.99945813
0.05,0,0.1875,0.9990439
0.05,0,0.2,0.99805295
0.05,0,0.2125,0.99617994
0.05,0,0.225,0.991492
0.05,0,0.2375,0.9807766
0.05,0,0.25,0.9575069
0.1,0,0.0,0.0016767383
0.1,0,0.0125,0.0007420778
0.1,0,0.025,0.00070905685
0.1,0,0.0375,0.0010970831
0.1,0,0.05,0.0020399094
0.1,0,0.0625,0.0037612915
0.1,0,0.075,0.007449925
0.1,0,0.0875,0.011932015
0.1,0,0.1,0.029414952
0.1,0,0.1125,0.07070869
0.1,0,0.125,0.19720244
0.1,0,0.1375,0.9998356
0.1,0,0.15,0.9997608
0.1,0,0.1625,0.99965656
0.1,0,0.175,0.9995079
0.1,0,0.1875,0.9992225
0.1,0,0.2,0.9984987
0.1,0,0.2125,0.9963967
0.1,0,0.225,0.9921415
0.1,0,0.2375,0.9829281
0.1,0,0.25,0.9608055
0.15,0,0.0,0.0004093647
0.15,0,0.0125,0.0024936795
0.15,0,0.025,0.0011720657
0.15,0,0.0375,0.00039464235
0.15,0,0.05,0.00035262108
0.15,0,0.0625,0.0006313324
0.15,0,0.075,0.00076168776
0.15,0,0.0875,0.001109004
0.15,0,0.1,0.0015723109
0.15,0,0.1125,0.0024539232
0.15,0,0.125,0.0057482123
0.15,0,0.1375,0.011164904
0.15,0,0.15,0.034678936
0.15,0,0.1625,0.08586174
0.15,0,0.175,0.2029177
0.15,0,0.1875,0.40389526
0.15,0,0.2,0.9994505
0.15,0,0.2125,0.9990102
0.15,0,0.225,0.9982322
0.15,0,0.2375,0.99593997
0.15,0,0.25,0.99058086
0.2,0,0.0,0.0005838871
0.2,0,0.0125,0.00019353628
0.2,0,0.025,8.684397e-05
0.2,0,0.0375,8.08835e-05
0.2,0,0.05,6.7055225e-05
0.2,0,0.0625,0.00014513731
0.2,0,0.075,0.0002387166
0.2,0,0.0875,0.00031590462
0.2,0,0.1,0.00045454502
0.2,0,0.1125,0.00082087517
0.2,0,0.125,0.0020383
0.2,0,0.1375,0.0047623515
0.2,0,0.15,0.011971593
0.2,0,0.1625,0.034422338
0.2,0,0.175,0.10523397
0.2,0,0.1875,0.35057622
0.2,0,0.2,0.99964726
0.2,0,0.2125,0.99951243
0.2,0,0.225,0.9991879
0.2,0,0.2375,0.99813545
0.2,0,0.25,0.9955302
0.25,0,0.0,0.0004645586
0.25,0,0.0125,0.00070273876
0.25,0,0.025,0.00055265427
