x,y,z,data
0.0,0,0.0,0.00011616945
0.0,0,0.0125,9.006332e-05
0.0,0,0.025,7.760987e-05
0.0,0,0.0375,5.5395663e-05
0.0,0,0.05,4.1260086e-05
0.0,0,0.0625,3.8800208e-05
0.0,0,0.075,5.4434746e-05
0.0,0,0.0875,9.648128e-05
0.0,0,0.1,0.0003177061
0.0,0,0.1125,0.0010257508
0.0,0,0.125,0.0036978184
0.0,0,0.1375,0.016963664
0.0,0,0.15,0.069884524
0.0,0,0.1625,0.18092945
0.0,0,0.175,0.4962535
0.0,0,0.1875,0.4892129
0.0,0,0.2,0.47061366
0.0,0,0.2125,0.43740493
0.0,0,0.225,0.39040008
0.0,0,0.2375,0.32164502
0.0,0,0.25,0.26286295
0.05,0,0.0,0.0007957518
0.05,0,0.0125,0.0002882462
0.05,0,0.025,0.00023993957
0.05,0,0.0375,0.00020167929
0.05,0,0.05,0.000101408696
0.05,0,0.0625,9.277278e-05
0.05,0,0.075,9.850038e-05
0.05,0,0.0875,0.00012483641
0.05,0,0.1,0.00028877717
0.05,0,0.1125,0.00071219733
0.05,0,0.125,0.0025704324
0.05,0,0.1375,0.00852861
0.05,0,0.15,0.028100519
0.05,0,0.1625,0.09117783
0.05,0,0.175,0.4080802
0.05,0,0.1875,0.49719408
0.05,0,0.2,0.49226442
0.05,0,0.2125,0.4818486
0.05,0,0.225,0.46060702
0.05,0,0.2375,0.42753708
0.05,0,0.25,0.41461265
0.1,0,0.0,0.00083836913
0.1,0,0.0125,0.0003314164
0.1,0,0.025,0.0003441091
0.1,0,0.0375,0.0005266039
0.1,0,0.05,0.00088088325
0.1,0,0.0625,0.0015677296
0.1,0,0.075,0.003096778
0.1,0,0.0875,0.005072022
0.1,0,0.1,0.013073196
0.1,0,0.1125,0.034726236
0.1,0,0.125,0.09277983
0.1,0,0.1375,0.4085393
0.1,0,0.15,0.49979728
0.1,0,0.1625,0.49967963
0.1,0,0.175,0.49927574
0.1,0,0.1875,0.4980551
0.1,0,0.2,0.49513254
0.1,0,0.2125,0.48826143
0.1,0,0.225,0.47326553
0.1,0,0.2375,0.44659302
0.1,0,0.25,0.41089472
0.15,0,0.0,0.00020468235
0.15,0,0.0125,0.0009979837
0.15,0,0.025,0.0004893986
0.15,0,0.0375,0.00015218725
0.15,0,0.05,0.00014473409
0.15,0,0.0625,0.00026280736
0.15,0,0.075,0.00031650267
0.15,0,0.0875,0.00042500944
0.15,0,0.1,0.0005840068
0.15,0,0.1125,0.0009812627
0.15,0,0.125,0.0021272115
0.15,0,0.1375,0.00431406
0.15,0,0.15,0.012715842
0.15,0,0.1625,0.031228434
0.15,0,0.175,0.075580746
0.15,0,0.1875,0.15324025
0.15,0,0.2,0.42129335
0.15,0,0.2125,0.4325841
0.15,0,0.225,0.4322472
0.15,0,0.2375,0.43125466
0.15,0,0.25,0.4289341
0.2,0,0.0,0.00029194355
0.2,0,0.0125,7.9264595e-05
0.2,0,0.025,3.705009e-05
0.2,0,0.0375,3.0261099e-05
0.2,0,0.05,2.5513033e-05
0.2,0,0.0625,5.5468543e-05
0.2,0,0.075,8.953424e-05
0.2,0,0.0875,0.00012410342
0.2,0,0.1,0.00017791438
0.2,0,0.1125,0.00030270068
0.2,0,0.125,0.0007613859
0.2,0,0.1375,0.0018946324
0.2,0,0.15,0.0046465034
0.2,0,0.1625,0.013449365
0.2,0,0.175,0.04382953
0.2,0,0.1875,0.14764374
0.2,0,0.2,0.439057
0.2,0,0.2125,0.41645703
0.2,0,0.225,0.43266106
0.2,0,0.2375,0.43220532
0.2,0,0.25,0.4310772
0.25,0,0.0,0.00023227932
0.25,0,0.0125,0.00030332245
0.25,0,0.025,0.00024222302
0.25,0,0.0375,0.00019251872
0.25,0,0.05,0.00015729354
0.25,0,0.0625,0.00013725615
0.25,0,0.075,0.00011598528
0.25,0,0.0875,0.00010536456
0.25,0,0.1,0.00010761766
0.25,0,0.1125,0.00012259885
0.25,0,0.125,0.0002068846
0.25,0,0.1375,0.00037000614
0.25,0,0.15,0.00056082534
0.25,0,0.1625,0.0016760592
0.25,0,0.175,0.008875365
0.25,0,0.1875,0.04226901
0.25,0,0.2,0.16969879
0.25,0,0.2125,0.4664456
0.25,0,0.225,0.43942517
0.25,0,0.2375,0.42175284
0.25,0,0.25,0.40537968
0.3,0,0.0,0.0003402233
0.3,0,0.0125,0.00013761886
0.3,0,0.025,0.00012819804
0.3,0,0.0375,0.0001440417
0.3,0,0.05,0.00012107208
0.3,0,0.0625,0.00012950419
0.3,0,0.075,0.00026669906
0.3,0,0.0875,0.00045036507
0.3,0,0.1,0.0010016569
0.3,0,0.1125,0.0030855404
0.3,0,0.125,0.012107689
0.3,0,0.1375,0.03248875
