x,y,z,data
0.0,0,0.0,0.99932027
0.0,0,0.0125,0.99963564
0.0,0,0.025,0.9997248
0.0,0,0.0375,0.99977005
0.0,0,0.05,0.999823
0.0,0,0.0625,0.9998677
0.0,0,0.075,0.9998703
0.0,0,0.0875,0.9998177
0.0,0,0.1,0.9995847
0.0,0,0.1125,0.99880457
0.0,0,0.125,0.9960446
0.0,0,0.1375,0.9829753
0.0,0,0.15,0.9335084
0.0,0,0.1625,0.8288634
0.0,0,0.175,0.4962476
0.0,0,0.1875,0.48913777
0.0,0,0.2,0.4698407
0.0,0,0.2125,0.43426883
0.0,0,0.225,0.3840981
0.0,0,0.2375,0.18570185
0.0,0,0.25,0.15176399
0.05,0,0.0,0.9984102
0.05,0,0.0125,0.9991117
0.05,0,0.025,0.9992704
0.05,0,0.0375,0.9994192
0.05,0,0.05,0.9996101
0.05,0,0.0625,0.9996997
0.05,0,0.075,0.9997521
0.05,0,0.0875,0.99975276
0.05,0,0.1,0.9995927
0.05,0,0.1125,0.99916136
0.05,0,0.125,0.997481
0.05,0,0.1375,0.99257433
0.05,0,0.15,0.97612536
0.05,0,0.1625,0.9198894
0.05,0,0.175,0.6783257
0.05,0,0.1875,0.49718305
0.05,0,0.2,0.49216887
0.05,0,0.2125,0.48126042
0.05,0,0.225,0.4574043
0.05,0,0.2375,0.41346553
0.05,0,0.25,0.23937672
0.1,0,0.0,0.99880695
0.1,0,0.0125,0.99939495
0.1,0,0.025,0.9994266
0.1,0,0.0375,0.99931294
0.1,0,0.05,0.9990345
0.1,0,0.0625,0.99847686
0.1,0,0.075,0.9971068
0.1,0,0.0875,0.99512637
0.1,0,0.1,0.9871111
0.1,0,0.1125,0.9651592
0.1,0,0.125,0.9074822
0.1,0,0.1375,0.6562048
0.1,0,0.15,0.49979725
0.1,0,0.1625,0.49967957
0.1,0,0.175,0.49927527
0.1,0,0.1875,0.4980502
0.1,0,0.2,0.4950977
0.1,0,0.2125,0.48805046
0.1,0,0.225,0.47204417
0.1,0,0.2375,0.44081032
0.1,0,0.25,0.39092404
0.15,0,0.0,0.99892944
0.15,0,0.0125,0.99851316
0.15,0,0.025,0.99869066
0.15,0,0.0375,0.99912584
0.15,0,0.05,0.9993673
0.15,0,0.0625,0.9995806
0.15,0,0.075,0.99952716
0.15,0,0.0875,0.9994054
0.15,0,0.1,0.99909484
0.15,0,0.1125,0.9983432
0.15,0,0.125,0.996493
0.15,0,0.1375,0.99261284
0.15,0,0.15,0.98015714
0.15,0,0.1625,0.9548207
0.15,0,0.175,0.8843244
0.15,0,0.1875,0.7537771
0.15,0,0.2,0.39371562
0.15,0,0.2125,0.24975255
0.15,0,0.225,0.24955805
0.15,0,0.2375,0.24898499
0.15,0,0.25,0.24764521
0.2,0,0.0,0.9994772
0.2,0,0.0125,0.9997317
0.2,0,0.025,0.99978477
0.2,0,0.0375,0.999808
0.2,0,0.05,0.99985456
